PANGAEA ID,PANGAEA Name,PANGAEA Unit,SDN Unit URN,SDN Unit Name,SDN P01 ID,SDN P01 Name,SDN P01 URI,CF standard name,CF unit,EMODNET,EMODNET long name
8389,"Suspended matter, total",mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::TSEDZZZZ,"Concentration of suspended particulate material {SPM} per unit volume of 
the water body",http://vocab.nerc.ac.uk/collection/P01/current/TSEDZZZZ,mass_concentration_of_suspended_matter_in_sea_water,mg l-1,TSMP,Total suspended matter
756,Nitrate,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::NTRAZZXX,"Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX,mole_concentration_of_nitrate_in_sea_water,umol l-1,NTRA,Nitrate (NO3-N)
5117,Nitrate,nmol/m**3,SDN:P06::MMCM,Millimoles per cubic metre,SDN:P01::NTRAZZXX,"Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX,mole_concentration_of_nitrate_in_sea_water,nmol m-3,NTRA,Nitrate (NO3-N)
106417,Nitrate,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::NTRAZZXX,"Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX,mole_concentration_of_nitrate_in_sea_water,mmol l-1,NTRA,Nitrate (NO3-N)
80105,Nitrate,µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP005,"Concentration of nitrate {NO3- CAS 14797-55-8} per unit mass of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP005,moles_of_nitrate_per_unit_mass_in_sea_water,umol kg-1,NTAW,Nitrate (NO3-N)
102650,Nitrate,mmol/kg,SDN:P06::MMKG,Millimoles per kilogram,SDN:P01::MDMAP005,"Concentration of nitrate {NO3- CAS 14797-55-8} per unit mass of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP005,moles_of_nitrate_per_unit_mass_in_sea_water,mmol kg-1,NTAW,Nitrate (NO3-N)
757,Nitrite,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::NTRIZZXX,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX,mole_concentration_of_nitrite_in_sea_water,umol l-1,NTRI,Nitrite (NO2-N)
106416,Nitrite,mmol/l,SDN:P06::MMPL,Millimoles per litre,SDN:P01::NTRIZZXX,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX,mole_concentration_of_nitrite_in_sea_water,mmol l-1,NTRI,Nitrite (NO2-N)
90074,Nitrite,µg/l,SDN:P06::UGPL,Micrograms per litre,SDN:P01::NTRIZZXX,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX,,ug l-1,NTRI,Nitrite (NO2-N)
8558,Nitrite,mg/kg,SDN:P06::UMKG,Milligrams per kilogram,SDN:P01::MDMAP007,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit mass of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP007,,mg kg-1,NTRI,Nitrite (NO2-N)
80106,Nitrite,µmol/kg,SDN:P06::KGUM,Micromoles per kilogram,SDN:P01::MDMAP007,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit mass of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAP007,mole_concentration_of_nitrite_in_sea_water,umol kg-1,NTRI,Nitrite (NO2-N)
127016,Nitrite,mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::NTRIZZXX,"Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRIZZXX,,mg l-1,NTRI,Nitrite (NO2-N)
2922,Nitrate and Nitrite,µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::NTRZZZXX,"Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRZZZXX,moles_of_nitrate_and_nitrite_per_unit_mass_in_sea_water,umol l-1,NTRZ,Nitrate + Nitrite
126300,Nitrate and Nitrite,mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::NTRZZZXX,"Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRZZZXX,,mg l-1,NTRZ,Nitrate + Nitrite
162313,Nitrate and Nitrite,mg/m**3,SDN:P06::UMMC,Milligrams per cubic metre,SDN:P01::NTRZZZXX,"Concentration of nitrate+nitrite {NO3+NO2} per unit volume of the water 
body [unknown phase]",http://vocab.nerc.ac.uk/collection/P01/current/NTRZZZXX,,mg m-3,NTRZ,Nitrate + Nitrite
167225,"Nitrogen, organic, total",µmol/l,SDN:P06::UPOX,Micromoles per litre,SDN:P01::MDMAZZKG,"Concentration of organic nitrogen {organic_N} {DON} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAZZKG,mole_concentration_of_dissolved_organic_nitrogen_in_sea_water,umol l-1,,
162477,"Nitrogen, organic, total",mg/l,SDN:P06::UMGL,Milligrams per litre,SDN:P01::MDMAZZKG,"Concentration of organic nitrogen {organic_N} {DON} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/MDMAZZKG,,mg l-1,,
4566,"Nitrous oxide, dissolved",nmol/l,SDN:P06::UPNM,Nanomoles per litre,SDN:P01::DN2OZZ01,"Concentration of nitrous oxide {N2O CAS 10024-97-2} per unit mass of the 
water body [dissolved plus reactive particulate phase]",http://vocab.nerc.ac.uk/collection/P01/current/DN2OZZ01,,nmol -1,,
